;ANO;CODUFMUN;POPULACAO
824;2019;521945;3343
825;2020;521945;3355
826;2021;521945;3367
827;2022;521945;2948
828;2019;521950;2319
829;2020;521950;2252
830;2021;521950;2200
831;2022;521950;2810
832;2019;521960;3355
833;2020;521960;3280
834;2021;521960;3207
835;2022;521960;3322
836;2019;521970;8744
837;2020;521970;8562
838;2021;521970;8386
839;2022;521970;10370
840;2019;521971;4821
841;2020;521971;4854
842;2021;521971;4886
843;2022;521971;4287
844;2019;521973;6283
845;2020;521973;6440
846;2021;521973;6593
847;2022;521973;7448
848;2019;521975;74744
849;2020;521975;75829
850;2021;521975;76871
851;2022;521975;68654
852;2019;521980;12949
853;2020;521980;13103
854;2021;521980;13305
855;2022;521980;9710
856;2019;521990;6264
857;2020;521990;6267
858;2021;521990;6265
859;2022;521990;6379
860;2019;522000;13740
861;2020;522000;14085
862;2021;522000;14423
863;2022;522000;11275
864;2019;522005;1381
865;2020;522005;1345
866;2021;522005;1312
867;2022;522005;1898
868;2019;522010;33817
869;2020;522010;34157
870;2021;522010;34488
871;2022;522010;33279
872;2019;522015;5167
873;2020;522015;5215
874;2021;522015;5263
875;2022;522015;4947
876;2019;522020;21993
877;2020;522020;21920
878;2021;522020;21849
879;2022;522020;22738
880;2019;522026;4057
881;2020;522026;4082
882;2021;522026;4105
883;2022;522026;4234
884;2019;522028;2036
885;2020;522028;2037
886;2021;522028;2040
887;2022;522028;2138
888;2019;522040;20645
889;2020;522040;20985
890;2021;522040;21318
891;2022;522040;17619
892;2019;522045;115371
893;2020;522045;118451
894;2021;522045;121447
895;2022;522045;153522
896;2019;522050;8544
897;2020;522050;8642
898;2021;522050;8737
899;2022;522050;8295
900;2019;522060;20695
901;2020;522060;20816
902;2021;522060;20938
903;2022;522060;22230
904;2019;522068;6856
905;2020;522068;6879
906;2021;522068;6895
907;2022;522068;5715
908;2019;522070;2989
909;2020;522070;3001
910;2021;522070;3040
911;2022;522070;2939
912;2019;522100;3529
913;2020;522100;3521
