ano,sigla_uf,id_municipio,populacao
2021,GO,5221551,5447
2019,GO,5221577,2854
2020,GO,5221577,2840
2021,GO,5221577,2829
2019,GO,5221601,40532
2020,GO,5221601,40840
2021,GO,5221601,41150
2019,GO,5221700,13843
2020,GO,5221700,13818
2021,GO,5221700,13795
2019,GO,5221809,3072
2020,GO,5221809,3066
2021,GO,5221809,3056
2019,GO,5221858,168468
2020,GO,5221858,172135
2021,GO,5221858,175720
2019,GO,5221908,3827
2020,GO,5221908,3838
2021,GO,5221908,3848
2019,GO,5222005,13863
2020,GO,5222005,13977
2021,GO,5222005,14088
2019,GO,5222054,8743
2020,GO,5222054,8873
2021,GO,5222054,9002
2019,GO,5222203,6171
2020,GO,5222203,6312
2021,GO,5222203,6451
2019,GO,5222302,5821
2020,GO,5222302,5882
2021,GO,5222302,5941
